종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가(원),상장주식수(주),상장시가총액(원)
002150,도화엔지니어링,4440,105.00,2.42,4480,4440,17616,76815390,4200,4440,4170,500,33720000,1.49717E+11
001620,동국실업,2500,-5.00,-0.20,2505,2500,40882,102290825,2505,2520,2475,500,26334520,65836300000
001230,동국제강,5030,-20.00,-0.40,5040,5030,204023,1026826445,5010,5150,4950,5000,95358542,4.79653E+11
023450,동남합성,39500,-2100,-5.05,39500,39300,10126,401219550,41600,41600,39000,5000,1279883,50555378500
004140,동방,2470,55.00,2.28,0,0,125379,307989400,2360,2510,2360,1000,21523970,53164205900
007590,동방아그로,10250,1040,11.29,10250,10150,419340,4267740580,9200,11200,9020,500,13617577,1.3958E+11
012030,동부,5700,130.00,2.33,5700,5630,57738,324298410,5560,5750,5470,5000,18212632,1.03812E+11
005960,동부건설,483,0.00,0.00,0,0,0,0,0,0,0,5000,50040163,24169398729
016380,동부제철,3360,-50.00,-1.47,3360,3355,49679,167902030,3365,3440,3315,5000,20000488,67201639680
016610,동부증권,5290,-40.00,-0.75,5350,5290,142309,758181590,5330,5400,5150,5000,42446389,2.24541E+11
000990,동부하이텍,14800,-150.00,-1.00,14850,14800,334280,4978106600,14950,15100,14700,5000,44367832,6.56644E+11
005830,동부화재,48700,-100.00,-0.20,48850,48700,166594,8137842150,48800,49500,48050,500,70800000,3.44796E+12
083350,동북아10호,5050,10.00,0.20,5080,5050,0,0,0,0,0,5000,1585660,8007583000
083360,동북아11호,5110,-10.00,-0.20,5110,5030,0,0,0,0,0,5000,1585660,8102722600
083370,동북아12호,5140,0.00,0.00,5140,5060,0,0,0,0,0,5000,1585660,8150292400
083380,동북아13호,5120,-20.00,-0.39,5120,5010,0,0,0,0,0,5000,1585660,8118579200
083390,동북아14호,5050,0.00,0.00,5140,5050,1524,7696200,5050,5050,5050,5000,1585660,8007583000
002210,동성제약,6100,20.00,0.33,6100,6090,309709,1921042750,6080,6370,6070,1000,22404756,1.36669E+11
102260,동성홀딩스,7540,-80.00,-1.05,7540,7510,130478,993737580,7700,7750,7470,1000,36214645,2.73058E+11
005190,동성화학,19800,250.00,1.28,19800,19750,43536,848654450,19600,19850,19100,1000,4876849,96561610200
000640,동아쏘시오홀딩스,169500,2000,1.19,170000,169500,19308,3269122000,166000,171500,164000,5000,4525391,7.67054E+11
058730,동아에스텍,4200,15.00,0.36,4230,4200,10706,44885835,4100,4245,4060,500,12738000,53499600000
170900,동아에스티,140500,2000,1.44,141000,140500,76731,10882394500,140000,146500,138500,5000,7701936,1.08212E+12
008040,동아원,2700,-25.00,-0.92,2700,2510,36919,96518240,2635,2710,2480,500,65180349,1.75987E+11
028100,동아지질,8500,150.00,1.80,8500,8490,42443,356516420,8350,8520,8200,500,11500000,97750000000
007340,동아타이어,24150,-350.00,-1.43,24200,24150,28778,693969050,24500,24500,23800,500,23727020,5.73008E+11
