종목코드,종목명,현재가,대비,등락률(%),매도호가,매수호가,거래량(주),거래대금(원),시가,고가,저가,액면가(원),상장주식수(주),상장시가총액(원)
078590,두올산업,1560,-25.00,-1.58,1560,1555,61873,95988625,1590,1590,1500,500,12875270,20085421200
030350,드래곤플라이,10850,-450.00,-3.98,10950,10850,25409,283058700,11400,11500,10850,500,14078923,1.52756E+11
073190,디비케이,1765,-60.00,-3.29,1795,1765,273525,493353720,1825,1840,1765,500,11968040,21123590600
066670,디스플레이텍,5090,-140.00,-2.68,5090,5080,233412,1196420260,5250,5260,5030,500,18691918,95141862620
074130,디아이디,1340,0.00,0.00,0,0,0,0,0,0,0,500,18830000,25232200000
109740,디에스케이,8090,-650.00,-7.44,8130,8090,327695,2695459140,8550,8670,8070,500,6500000,52585000000
090710,디에스티로봇,7590,-350.00,-4.41,7590,7550,168752,1297082920,7940,7940,7480,500,9493166,72053129940
131030,디에이치피코리아,14100,1300,10.16,14100,14050,777075,10647701250,12800,14200,12500,500,16564797,2.33564E+11
196490,디에이테크놀로지,7830,320.00,4.26,7920,7830,184441,1456533050,7660,8060,7630,500,6043686,47322061380
066900,디에이피,4010,-100.00,-2.43,4010,4005,9894,39701040,4285,4285,3985,500,22744503,91205457030
127120,디엔에이링크,16650,-200.00,-1.19,16700,16650,61461,1030161950,16350,17100,16350,500,5994373,99806310450
092070,디엔에프,27000,400.00,1.50,27400,27000,150990,4147461700,27200,27850,26400,500,10761828,2.90569E+11
101000,디엠씨,3755,50.00,1.35,3765,3750,225,833265,3835,3835,3680,500,12764625,47931166875
134580,디엠티,5010,-70.00,-1.38,5050,5010,54265,272488425,5050,5120,4985,500,7500000,37575000000
039840,디오,18050,350.00,1.98,18100,18050,151832,2762698950,17850,18700,17300,500,11921403,2.15181E+11
108860,디오텍,4400,100.00,2.33,4405,4400,233806,1015230320,4300,4435,4050,500,22045945,97002158000
079810,디이엔티,2780,90.00,3.35,2930,2780,78920,218301560,2685,3000,2550,500,8300000,23074000000
113810,디젠스,1250,-35.00,-2.72,1275,1250,59412,75143015,1285,1290,1245,500,19210000,24012500000
043360,디지아이,3320,10.00,0.30,3320,3315,16404,53266450,3300,3330,3200,500,9000000,29880000000
106520,디지탈옵틱,18400,-1050,-5.40,18400,18300,200914,3644837250,19150,19600,17100,500,6468442,1.19019E+11
068930,디지털대성,3370,5.00,0.15,3390,3370,187534,637338145,3430,3455,3350,500,22122223,74551891510
033130,디지틀조선,4455,-180.00,-3.88,4460,4455,435239,1969533570,4540,4625,4455,500,37115267,1.65349E+11
033310,디케이디앤아이,4220,-75.00,-1.75,4230,4220,124591,526844130,4210,4295,4060,500,21972411,92723574420
105740,디케이락,7140,70.00,0.99,7140,7120,136949,975773980,7200,7200,7030,500,7855554,56088655560
187220,디티앤씨,24850,400.00,1.64,24900,24850,99956,2472797950,24200,25150,23850,500,9854054,2.44873E+11
